# SEU Times,,,,,,,,,
#Time, Latitude (deg), Longitude (deg), Altitude (km), GEO_x (km), GEO_y (km), GEO_z (km), GEO_vx (km/s), GEO_vy (km/s), GEO_vz (km/s)
08/10/2013 22:58,2.04,-56.112,1257.54,4254.701,-6334.636,270.247,0.060857,0.88685,6.929189
11/05/2014 3:30,-16.474,168.527,844.33,-6789.204,1377.917,-2036.53,-2.697895,-0.173593,6.874721
04/06/2014 14:27,-7.965,-42.848,1426.22,5666.93,-5256.495,-1075.552,1.12869,-0.334645,6.707328
12/08/2014 1:01,6.284,-157.176,1432.37,-7155.956,-3011.543,850.265,-0.477488,-0.758944,-6.742525
03/12/2014 3:12,-3.417,-53.798,1331.68,4545.641,-6210.352,-457.001,0.355576,0.409626,-6.872163
24/11/2015 4:48,-23.188,-67.904,944.23,2533.009,-6239.334,-2867.646,-0.181539,2.454329,-6.831908
07/12/2015 23:28,-22.176,-15.836,1245.97,6794.93,-1927.32,-2862.742,-2.027793,1.274434,-6.534228
31/12/2015 20:18,16.82,-22.707,1347.81,6823.763,-2855.438,2223.835,2.114559,-0.239782,-6.521198
04/01/2016 0:41,-1.071,-91.842,1320.12,-247.411,-7692.946,-143.084,0.538459,0.280346,-6.860468
18/05/2016 5:31,-11.133,-74.912,1074.97,1903.698,-7061.536,-1430.972,0.126351,1.887993,-6.868579
20/07/2016 4:59,-0.623,-15.725,1147.71,7243.767,-2039.513,-81.425,-0.153305,0.630611,7.021125
24/08/2017 18:04,64.249,-139.225,551.76,-2285.753,-1971.276,6218.77,-3.386935,-6.297794,-2.742374
16/12/2017 17:49,-29.507,18.288,1084.09,6170.608,2039.264,-3656.901,-3.190446,-0.195282,-6.344512
21/09/2018 9:14,-29.781,-56.912,1200.49,3593.413,-5514.864,-3745.63,-1.343442,3.51474,-5.884799
25/09/2018 23:22,3.907,-102.787,355.57,-1486.947,-6551.533,455.885,0.815712,0.170235,7.827942
25/12/2018 20:19,-18.003,-58.825,1034.72,3650.423,-6033.507,-2278.5,-0.339798,1.863333,-6.895693
03/02/2019 14:37,-6.501,-56.035,1128.47,4167.031,-6186.005,-845.102,-0.155495,1.267315,-6.940881
10/02/2019 14:59,-19.13,-73.64,874.98,1930.811,-6577.208,-2363.665,-0.102797,2.91506,-6.70708
23/11/2019 9:29,-20.977,-37.102,1215.82,5657.277,-4278.863,-2704.329,2.543424,-1.092028,6.393136
10/01/2020 18:24,-28.96,-80.761,1259.08,1073.523,-6599.913,-3679.63,0.243837,3.264461,-6.099565
27/01/2020 15:24,-9.513,-73.49,1264.5,2142.166,-7227.32,-1256.169,0.188524,1.339593,-6.785541
28/08/2020 21:30,-12.511,-63.411,879.46,3171.677,-6336.827,-1563.129,1.082204,-0.675837,7.192344
#,,,,,,,,,
#Test data: Mix of SEU Time(s) and NON-SEU Time(s) for your algorithm to forecast the risk of SEU,,,,,,,,,
#Time, Latitude (deg), Longitude (deg), Altitude (km), GEO_x (km), GEO_y (km), GEO_z (km), GEO_vx (km/s), GEO_vy (km/s), GEO_vz (km/s)
08/03/2014 16:36,-3.491,-78.682,1059.46,1456.92,-7279.512,-450.318,0.600059,0.006579,-7.147319
14/06/2014 14:00,-0.66,-55.003,1390.76,4455.389,-6363.748,-88.997,0.336647,0.415152,6.82283
09/03/2015 13:33,-38.099,-35.054,911.66,4701.359,-3298.538,-4476.598,-2.674633,3.150956,-6.020367
28/03/2016 10:53,-31.91,-49.336,1010.9,4090.548,-4761.737,-3886.297,-1.503561,3.099164,-6.309811
23/11/2016 13:42,-4.398,-41.853,1137.17,5581.432,-4999.715,-573.061,0.487428,0.331578,7.034493
