:Product: Daily Geomagnetic Data     2013_DGD.txt
:Issued: 2130 UT 07 Jan 2014
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2013 01 01     1  0 0 0 0 1 0 1 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 0 0 0
2013 01 02     2  0 0 1 1 2 1 1 0     2  0 0 1 1 2 1 0 0     3  0 0 1 1 1 1 1 1
2013 01 03     2  0 1 0 0 1 1 1 0     0  0 0 0 0 0 0 0 0     2  0 1 0 0 0 1 1 0
2013 01 04     2  1 0 0 0 1 1 1 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 0 1 1 1
2013 01 05     1  0 1 1 0 0-1-1-1     0  0 0 0 0 0 0 0 0     3  0 1 1 0 1 0 1 0
2013 01 06     6 -1-1-1-1-1 2 2 1     0  0 0 0 0 0 0 0 0     3  0 0 0 0 1 1 2 1
2013 01 07     3  0 0 1 1 2 2 1 1     0  0 0 1 0 0 0 0 0     3  1 0 1 0 1 1 1 1
2013 01 08     3  0 1 0 1 2 1 1 2     1  0 0 0 0 0 1 1 0     3  0 1 0 0 1 1 1 2
2013 01 09     3  1 1 0 1 1 2 1 1     2  0 0 1 3 0 0 0 0     3  2 0 0 1 1 0 1 1
2013 01 10     2  0 0 1 1 1 1 1 0     1  0 0 0 2 0 0 0 0     3  1 0 0 1 0 1 1 0
2013 01 11     3  0 1 0 1 2 1 1 2     1  0 0 0 2 0 0 0 0     2  0 0 0 1 1 0 1 2
2013 01 12     2  1 1 0 0 1 1 1 0     1  0 0 0 1 1 0 0 0     3  1 1 0 1 1 0 1 0
2013 01 13    10  3 1 2 0 2 2 3 4    11  1 0 2 1 4 4 2 3     9  2 1 2 1 2 2 3 3
2013 01 14     6  3 2 2 2 2 1 1 0    12  3 1 0 5 3 2 2 1     8  3 2 2 2 2 2 2 1
2013 01 15     4  1 1 2 1 2 1 1 0     7  1 2 3 3 3 0 1 0     4  1 1 2 1 1 1 1 0
2013 01 16     3  0 1 1 1 1 1 2 1     4  0 0 0 3 2 0 2 1     5  0 1 1 1 1 1 3 2
2013 01 17    12  3 3 2 1 3 4 2 2    19  2 3 2 1 4 5 4 3    13  3 3 2 1 3 4 3 2
2013 01 18     7  2 2 1 1 3 2 2 2     7  2 3 1 1 2 1 2 2     9  2 3 1 1 3 2 2 3
2013 01 19     9  3 1 1 1 2 3 2 3     3  1 0 0 0 2 2 1 2     7  3 1 1 1 1 2 2 3
