:Product: Daily Geomagnetic Data     2014_DGD.txt
:Issued: 1500 UT 30 Jan 2015
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2014 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2014 01 01    11  0 1 1 3 4 3 3 2    33  0 0 2 5 7 5 2 3    12  1 2 2 3 4 3 3 3
2014 01 02    15  3 3 3 2 3 3 4 2    29  2 4 3 4 6 5 4 1    20  3 4 4 2 3 3 5 3
2014 01 03     7  2 2 2 2 2 2 2 1    13  1 1 3 4 4 3 2 1    10  3 2 2 3 3 3 3 2
2014 01 04     6  1 1 1 2 2 2 3 1    12  1 0 2 5 4 1 1 1     6  1 1 1 2 2 2 2 1
2014 01 05     4  1 1 2 1 1 2 2 0     2  0 0 2 2 1 0 0 0     4  1 1 2 1 1 1 1 0
2014 01 06     4  0 1 2 0 2 2 2 1     0  0 0 1 0 0 0 0 0     4  0 1 1 0 1 1 2 2
2014 01 07     7  0 2 0 1 2 3 3 2     4  0 1 0 1 0 3 2 1     8  1 2 0 1 1 3 3 3
2014 01 08     8  3 3 1 1 2 2 2 1     4  2 2 0 1 1 2 1 1     8  3 3 1 1 1 1 1 2
2014 01 09     7  2 2 2 1 2 2 3 1    10  2 1 3 3 3 1 3 1    10  3 3 2 2 1 1 3 2
2014 01 10     4  1 1 1 1 2 2 1 1     3  0 0 0 0 3 2 0 0     5  2 2 1 1 1 2 1 1
2014 01 11     3  0 0 0 0 2 2 2 1     2  0 0 0 0 0 1 2 1     4  0 0 0 0 1 1 3 2
2014 01 12     7  1 1 1 1 2 1 3 3     9  0 1 0 4 3 1 2 3     9  1 1 2 1 2 1 3 4
2014 01 13     6  2 2 2 1 2 2 1 1     5  3 1 1 2 2 0 0 1     7  3 3 2 1 1 1 0 1
2014 01 14     8  3 2 1 1 3 2 1 2    17  2 1 3 1 6 3 1 2    11  4 2 2 1 3 2 1 3
2014 01 15     3  1 1 1 0 1 2 1 0     3  1 1 1 2 0 1 1 0     4  2 1 1 1 0 1 1 1
2014 01 16     2  0 0 1 1 1 1 1 0     1  0 0 1 2 0 0 0 0     3  0 0 1 1 1 0 1 0
2014 01 17     2  0 0 0 0 1 2 1 1     1  0 0 0 0 2 0 0 0     4  1 1 1 0 1 1 1 2
2014 01 18     1  0 0 0 0 1 1 1 0     0  0 0 0 0 0 0 1 0     2  1 0 0 0 0 0 1 0
2014 01 19     2  0 0 0 0 2 2 1 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 1 1 1 0
2014 01 20     4  0 0 1 1 2 2 2 1     3  0 0 3 2 1 0 0 0     3  0 0 1 1 1 1 1 0
2014 01 21     6  2 1 1 1 2 2 2 2    11  0 0 2 4 4 3 2 1     8  3 1 2 2 2 2 2 2
2014 01 22     8  1 1 3 3 2 2 1 2    19  0 0 3 6 5 2 1 0     9  2 2 3 3 2 1 2 3
2014 01 23     5  2 1 2 1 1 2 2 1     3  1 1 2 2 1 1 0 0     6  3 2 2 1 1 1 2 1
2014 01 24     3  2 1 0 0 1 2 1 0     2  1 1 0 1 0 0 1 0     5  3 2 1 1 1 1 1 1
2014 01 25    -1  3 2 1 1 1 2-1-1    -1  0 0 0 1 2-1-1-1     8  3 2 2 1 1 2 2 3
2014 01 26     3  0 2 2 1 0 1 1 1     4  0 1 2 3 0 1 1 0     6  2 3 2 1 0 2 1 1
2014 01 27     3  0 1 1 0 2 2 0 1     1  0 0 0 0 1 1 0 0     4  1 1 1 0 1 1 1 1
2014 01 28     3  0 0 1 1 1 2 2 1     3  0 0 1 2 0 1 2 1     5  0 0 2 1 1 2 2 2
2014 01 29     6  1 2 2 2 2 2 2 1    10  0 1 3 4 3 3 1 0     7  2 2 2 2 2 2 2 2
2014 01 30     4  2 3 1 0 1 1 1 0     1  1 1 1 0 0 0 0 0     5  2 3 1 0 0 0 1 1
2014 01 31     2  0 0 0 1 1 1 1 0     0  0 0 0 1 0 0 0 0     3  0 0 1 1 1 0 1 1
2014 02 01     2  0 0 0 1 1 1 1 2     1  0 0 0 1 0 1 0 1     5  0 0 1 1 1 1 2 3
2014 02 02     4  1 1 1 0 2 2 2 0     1  1 1 0 0 0 0 1 0     4  1 2 1 0 1 1 2 1
2014 02 03     5  1 2 2 1 2 2 1 1     4  0 1 0 1 2 3 0 0     6  2 2 2 1 1 2 1 2
2014 02 04     4  1 1 1 0 2 2 1 1     0  0 0 0 0 0 0 0 0     5  2 2 1 1 1 1 1 1
2014 02 05     5  0 2 1 0 3 1 1 2     1  0 0 0 0 1 0 0 1     4  1 1 1 0 2 1 1 2
2014 02 06     5  1 2 1 2 2 2 1 1    14  1 1 1 4 5 4 1 0     9  2 3 2 2 3 2 2 1
2014 02 07     7  0 0 1 2 1 2 2 4     5  0 0 1 3 1 1 2 2     9  1 0 2 2 1 3 3 4
2014 02 08    19  4 4 3 2 3 1 2 5    24  3 3 5 4 5 3 3 2    23  4 4 4 2 2 2 4 5
2014 02 09    11  3 2 3 1 3 2 3 2    25  3 3 5 1 5 5 3 2    18  4 3 3 1 3 3 4 3
2014 02 10     9  2 2 1 2 1 1 4 3     8  2 1 2 3 1 1 3 2    12  3 2 2 2 1 1 4 4
2014 02 11     3  1 1 1 0 1 1 1 2     3  2 1 1 1 0 0 1 2     6  2 2 2 1 1 0 1 3
2014 02 12     5  3 2 1 1 1 2 1 0     6  3 0-1-1-1 2 1 1     9  3 3 2 1 1 2 2 1
2014 02 13     2  0 0 0 1 1 1 1 0     0  0 0 0 0 0 0 0 0     3  1 0 1 1 0 0 1 0
2014 02 14     4  0 0 1 1 3 2 1 1     0  0 0 0 0 0 0 0 0     4  0 0 1 1 2 1 1 1
2014 02 15     7  0 0 0 0 3 2 2 4     6  0 0 0 0 2 3 2 3    11  0 1 0 0 3 3 3 5
2014 02 16    14  4 3 2 2 3 3 3 2    16  3 2 2 3 3 5 3 2    22  5 3 2 2 3 4 4 3
2014 02 17     4  1 0 1 1 1 1 2 2     2  1 1 1 1 0 0 0 1     5  2 1 1 1 1 1 2 3
2014 02 18     6  1 0 1 1 2 2 2 3     8  1 0 2 1 3 3 3 2     7  1 0 2 2 1 2 3 3
2014 02 19    30  4 5 5 5 5 2 2 2    57  3 6 5 7 7 3 2 2    47  5 6 6 5 6 3 2 3
2014 02 20    27  1 5 5 5 5 2 2 2    59  1 5 5 8 6 4 3 2    39  2 6 6 6 5 3 3 3
2014 02 21     9  2 2 2 3 2 2 2 3    19  2 1 4 5 4 4 2 1    12  3 3 3 3 2 3 2 3
2014 02 22    11  4 3 2 3 2 2 2 1    19  4 2 3 5 4 3 2 1    14  4 3 2 3 2 3 2 2
2014 02 23    12  2 2 3 2 3 3 3 3    32  1 2 2 5 5 5 6 3    17  2 2 3 3 3 4 4 4
2014 02 24     5  1 1 2 2 2 2 2 0     8  1 2 2 4 2 2 1 0     7  2 2 2 3 2 2 2 1
2014 02 25     3  1 0 0 0 2 2 1 2     4  1 0 0 2 3 1 0 1     4  2 0 1 1 1 1 1 2
2014 02 26     3  2 0 0 1 2 2 1 0     0  1 0 0 0 0 0 0 0     4  2 0 1 1 0 1 1 1
2014 02 27    15  1 1 0 0 3 4 5 4    24  0 0 0 2 4 6 5 4    24  1 1 1 1 3 4 6 5
2014 02 28    10  3 2 3 3 2 3 1 1    -1  3 2 4 6 1-1-1-1    13  4 3 4 3 2 3 1 1
2014 03 01     6  2 1 2 1 2 2 2 2     3 -1-1-1-1-1-1 1 1     7  2 2 2 2 2 1 2 3
2014 03 02     3  2 1 0 1 2 1 1 0     2  2 1 0 0 1 0 0 0     5  3 2 1 1 1 0 1 1
2014 03 03     6  2 2 2 1 2 2 1 1     6  0 1 2 3 3 1 0 1     7  3 2 2 2 2 1 1 1
2014 03 04     8  2 2 0 3 3 2 1 2     7  1 0 0 4 3 2 1 1     8  2 1 0 2 3 2 2 3
2014 03 05     6  1 1 1 1 3 2 2 1     7  1 0 0 4 3 2 1 1     7  2 1 2 2 3 2 2 2
2014 03 06     5  1 0 0 1 2 3 2 1     5  0 0 0 1 4 2 1 0     6  1 1 1 2 2 2 3 1
2014 03 07     3  0 1 0 1 2 2 1 1     0  0 0 0 0 0 0 1 0     4  1 1 1 1 1 1 1 1
2014 03 08     5  1 1 1 1 2 2 1 2     1  0 0 0 2 0 0 0 0     4  1 1 1 1 1 1 1 1
2014 03 09     2  1 0 1 1 0 1 1 1     0  0 0 0 0 0 0 0 0     3  1 0 1 1 0 0 1 1
2014 03 10     4  1 1 1 2 2 1 1 0     7  0 0 0 5 2 0 0 0     6  1 1 1 3 2 0 1 1
2014 03 11     4  0 0 0 2 2 3 1 1     2  0 0 1 1 2 1 0 0     4  0 0 1 2 1 1 1 1
2014 03 12    -1  2 0 1 2-1-1-1-1     2  1 0 0 0 1 0 1 1     6  2 1 1 1 1 1 2 3
2014 03 13    -1 -1-1-1-1-1-1-1-1    14  3 4 3 4 3 2 1 1    13  5 4 3 2 2 1 2 1
2014 03 14     5  1 2 2 1 2 1 1 1    11  0-1-1 4 4 2 1 0     6  1 2 2 1 2 2 1 1
2014 03 15     3  2 1 1 0 0 1 1 2     2  1 0 2 1 0 0 0 0     4  2 1 1 1 0 0 1 1
2014 03 16     1  1 1 1 0 0 0 0 0     1  0 0 2 0 0 0 0 0     3  1 1 1 0 0 0 1 0
2014 03 17     2  0 0 0 0 1 1 1 1     0  0 0 0 0 0 0 0 0     3  0 0 1 1 0 0 1 1
2014 03 18     5  1 2 2 1 2 2 2 0    11  0 0 5 3 3 2 1 0     6  1 1 2 2 2 1 2 1
2014 03 19     2  1 0 1 1 1 0 1 1     7  1 1 4 3 1 0 0 1     5  2 1 2 1 1 1 1 1
2014 03 20     4  1 2 1 1 1 1 1 1     3  1 1 0 3 1 0 1 0     6  1 2 2 2 1 0 1 1
2014 03 21    10  3 2 3 2 2 3 2 2    16  2 2 4 5 3 3 1 1    10  3 2 3 3 2 3 2 2
2014 03 22     7  2 1 1 2 3 2 2 1     5  1 0 0 0 4 1 1 0     6  2 1 1 2 2 1 1 2
2014 03 23     7  1 2 2 2 2 2 2 2     4  1 1 1 1 1 1 2 1     6  2 2 2 1 1 1 2 2
2014 03 24     4  1 0 1 2 2 2 1 0     1  1 0 0 1 0 0 0 0     5  2 1 1 2 1 1 1 1
2014 03 25     7  0 0 0 2 3 1 3 3     4  0 0 0 1 1 0 3 2     8  1 1 1 2 2 1 3 3
2014 03 26     7  3 1 3 2 2 1 1 1     8  3 1 4 3 0 1 1 0     9  4 1 4 2 1 1 2 1
2014 03 27     7  1 1 1 3 3 1 2 1    15  1 1 1 5 5 3 1 0     7  2 2 1 3 2 2 2 0
2014 03 28     9  1 1 1 2 3 2 3 3     7  0 0 1 2 4 1 2 2     8  1 1 1 2 2 1 3 3
2014 03 29     9  3 2 0 2 2 3 2 3     5  2 1 1 3 2 0 0 1     8  3 2 1 2 1 1 1 3
2014 03 30     5  2 0 1 2 2 2 1 1     2  1 0 0 2 0 1 1 0     5  2 1 1 2 1 1 1 1
2014 03 31     8  1 1 1 1 3 4 2 1     8  1 1 1 1 4 3 2 0     7  0 1 1 2 3 3 2 1
2014 04 01     5  1 1 0 2 2 2 1 2     4  1 0 1 0 1 3 1 1     6  1 1 1 1 2 2 1 3
2014 04 02     6  1 1 1 2 2 2 2 2     2  1 1 0 1 0 1 1 1     5  1 1 1 1 2 1 1 2
2014 04 03     7  1 1 1 3 3 2 1 1     9  1 1 1 3 4 3 1 1     6  1 2 1 2 2 1 1 2
2014 04 04     5  1 1 1 2 2 2 1 1     3  0 1 2 1 2 0 0 0     6  1 2 2 2 2 2 1 1
2014 04 05    11  1 0 2 3 3 3 3 3    17  1 1 2 5 5 3 2 2    14  2 1 2 4 4 3 3 3
2014 04 06     3  2 0 0 1 2 1 1 1     2  2 1 0 0 0 1 0 1     5  3 1 1 1 1 1 0 2
2014 04 07    10  2 0 2 2 3 4 2 2    16  1 1 1 2 4 6 1 1    11  3 2 2 1 3 4 2 2
2014 04 08     4  2 1 0 2 2 2 1 0     4  1 1 0 2 3 0 0 0     5  2 1 0 2 2 1 1 0
2014 04 09     5  0 1 2 2 2 2 2 1     6  0 0 2 2 4 2 1 0     5  1 1 2 2 2 2 2 1
2014 04 10     4  0 0 0 2 2 2 2 1     1  0 0 1 1 0 0 0 0     3  0 1 1 1 1 0 1 0
2014 04 11     7  0 2 2 2 2 2 2 3     5  0 0 2 1 2 3 2 1     8  1 2 2 2 1 2 2 3
2014 04 12    16  4 3 3 3 3 3 3 2    37  4 4 5 4 7 3 2 2    25  5 5 5 3 3 2 3 3
2014 04 13    13  3 3 3 3 3 2 3 2    21  3 4 5 5 3 2 2 1    16  4 4 3 3 2 2 3 2
2014 04 14     7  2 1 3 1 2 2 2 2     6  2 1 3 2 0 1 2 1     8  3 2 3 2 1 1 2 2
2014 04 15     5  1 2 2 1 2 1 1 1     3  1 1 2 2 1 0 1 0     6  2 3 2 2 1 1 1 1
2014 04 16     5  0 1 1 2 2 1 2 2     4  0 0 0 3 3 0 1 0     5  1 1 1 2 2 0 1 2
2014 04 17    11  3 3 2 2 3 3 2 2    15  3 2 1 2 4 5 2 1    11  3 3 2 2 2 3 2 1
2014 04 18     7  1 2 1 2 2 2 1 3     6  2 3 0 2 1 1 2 2     8  2 2 1 2 2 1 2 3
2014 04 19    13  3 3 3 2 3 3 3 2    19  2 3 4 4 4 4 3 1    15  4 4 3 3 2 3 3 2
2014 04 20    20  3 2 1 4 5 3 3 4    18  3 2 1 3 4 5 3 3    22  3 2 1 3 5 4 4 4
2014 04 21    18  4 4 3 4 3 3 2 2    30  4 5 3 5 5 5 1 1    18  4 4 3 4 3 4 2 2
2014 04 22     4  1 2 2 1 1 1 0 1     2  1 1 1 1 0 1 0 0     5  1 2 1 2 1 1 0 1
2014 04 23     6  0 1 1 3 2 2 2 1     7  0 1 1 4 2 2 1 1     7  1 1 1 2 2 2 2 2
2014 04 24     8  2 1 2 2 3 2 2 2    18  2 2 3 5 4 4 2 2    10  3 2 3 2 2 2 2 3
2014 04 25     7  3 2 0 2 3 1 2 1    11  2 3 1 3 4 2 2 1     9  3 3 1 2 2 2 2 1
2014 04 26     8  1 3 2 1 3 2 1 2     6  1 2 2 3 3 1 0 0     6  1 3 2 1 2 1 1 2
2014 04 27     4  1 0 0 1 3 1 2 1     1  2 0 0 0 0 1 0 0     4  1 1 1 0 1 1 1 2
2014 04 28     7  1 2 2 2 3 1 1 2     9  2 2 2 5 1 0 0 0     6  2 3 2 2 1 1 0 1
2014 04 29     7  1 0 0 1 3 1 1 4     1  1 0 0 0 0 0 0 2     6  2 1 1 1 1 1 1 4
2014 04 30    12  3 2 3 3 4 2 2 1    36  3 4 5 5 5 6 3 2    18  3 3 4 3 4 3 3 1
2014 05 01     5  1 3 2 1 2 1 1 0     5  2 3 1 0 1 1 2 1     6  2 3 2 1 1 1 1 1
2014 05 02     3  1 2 1 1 2 0 1 0     1  1 1 0 0 0 0 0 0     3  1 2 1 1 1 0 0 0
2014 05 03     5  0 0 0 1 2 2 2 3     2  0 0 0 0 0 0 2 2     7  1 1 1 1 1 2 3 3
2014 05 04    15  2 4 4 3 4 2 1 1    25  3 5 6 4 3 2 2 1    16  3 4 4 3 3 2 2 1
2014 05 05    11  1 3 3 3 3 2 2 2    10  1 3 3 3 2 3 2 1    10  2 3 3 2 2 2 2 2
2014 05 06     4  1 1 1 1 2 1 1 1     1  1 1 1 0 0 0 0 0     3  1 1 1 1 1 0 0 0
2014 05 07     5  0 0 0 2 3 1 2 2     3  0 0 0 0 3 1 0 1     4  0 1 1 1 2 1 1 2
2014 05 08    13  2 3 3 3 2 3 3 3    41  3 4 5 7 3 5 2 4    20  2 4 3 4 3 4 3 4
2014 05 09     8  3 2 3 1 2 1 2 1     9  4 2 4 2 0 0 0 1     8  3 2 3 2 1 1 1 1
2014 05 10    10  2 3 2 2 3 1 2 3     8  2 3 3 2 0 1 2 2     9  2 3 2 1 1 1 3 3
2014 05 11    10  3 3 1 2 3 2 2 2    18  4 4 3 5 2 2 1 2    12  4 3 2 3 2 2 2 3
2014 05 12    10  2 2 3 2 4 2 2 1    12  2 3 3 4 3 2 1 1     8  2 2 3 2 2 2 2 2
2014 05 13     7  1 2 1 2 3 2 2 2    -1  1 1 2 2 1 1 1-1     5  1 2 1 1 1 1 1 2
2014 05 14     8  1 1 1 2 4 2 1 2     6 -1 2 1 1 3 1 1 2     6  1 1 1 1 2 2 1 2
2014 05 15     5  1 1 1 1 3 1 1 1     3 -1 2 1 0 0 1 1 1     5  2 2 1 1 1 1 1 1
2014 05 16     6  1 1 1 2 3 2 2 1     4  2 1 1 1 2 2 1 0     5  2 1 1 1 2 2 1 1
2014 05 17     4  1 0 0 1 3 2 1 1     2  1 1 1 2 1 0 0 0     4  1 1 1 1 1 1 0 1
2014 05 18     5  2 1 1 1 2 2 2 1     5  2 2 1 1 1 2 1 1     5  2 2 1 1 1 2 1 1
2014 05 19     4  0 2 1 1 2 1 1 2     4  1 2 2 1 2 1 0 1     4  1 1 1 1 1 1 1 2
2014 05 20     4  1 1 1 1 2 2 1 1     3  1 1 2 2 2 0 0 0     4  1 1 2 1 1 1 0 0
2014 05 21     3  0 0 1 1 2 1 1 1     2  1 1 1 1 1 0 0 0     3  1 1 1 1 1 0 0 1
2014 05 22     9  2 1 1-1-1-1 3 3     7  1 1 1 2 2 3 2 2     9  1 1 2 1 2 3 2 3
2014 05 23    17  3 3 1 1 2 3 4 5    12  3 2 2 1 1 3 3 4    19  3 2 1 1 2 4 4 5
2014 05 24    -1  2 2 2 1-1-1-1-1     6  2 2 2 1 3 2 0 1     6  2 2 2 1 1 1 1 2
2014 05 25    -1 -1-1-1-1-1-1-1-1     4  2 2 1 1 1 1 1 0     4  2 2 1 0 1 1 0 1
2014 05 26    -1 -1-1-1-1-1-1-1-1     2  1 1 2 1 1 0 0 0     4  2 1 2 1 0 0 0 0
2014 05 27    -1  4-1-1-1 2 2 1-1     2  0 0 1 1 1 0 1 0     4  1 1 1 1 1 1 1 2
2014 05 28     5 -1-1-1-1 2 1 2 1     4  2 2 1 1 1 0 1 1     4  2 1 1 1 1 1 1 2
2014 05 29     8  1 0 1 3 3 3 2 2    10  1 1 1 4 4 2 2 1     7  1 1 1 3 2 2 2 1
2014 05 30     8  0 2 2 3 2 2 3 2    12  1 1 3 3 4 3 3 1     9  0 2 2 2 2 2 4 2
2014 05 31     4  1 2 1 1 1 2 1 1     2  1 1 1 1 1 0 0 0     4  1 2 1 1 1 1 1 1
2014 06 01     5  1 1 2 2 2 2 1 1     1  0 0 1 1 1 0 0 0     5  1 1 1 2 1 1 1 1
2014 06 02     5  1 1 1 1 2 1 2 2     2  1 1 0 0 0 0 1 1     5  1 1 1 1 1 1 1 3
2014 06 03     5  2-1-1-1 1 2 2 1     5  3 2 1 1 0 1 1 1     7  3 2 1 1 1 1 2 1
2014 06 04     6  1 2 2 1 2 2 2 1     5  2 2 1 3 0 1 1 1     5  1 2 2 1 1 2 1 2
2014 06 05     7  1 2-1-1 1 2 2 3     8  1 2 1 4 2 1 2 2     7  2 2 1 2 1 1 2 3
2014 06 06     5  2 1 0 1 2 2 2 2     3  2 2 0 0 0 1 1 2     6  2 2 0 1 1 2 2 2
2014 06 07    14  2 2 2 1 3 3 4 4    11  2 2 2 4 2 2 3 2    13  2 2 2 2 2 4 4 4
2014 06 08    -1  4 5 5-1-1-1-1-1    36  4 5 5 6 5 3 3 2    39  3 6 6 5 5 4 3 2
2014 06 09     3 -1-1-1-1-1 1 2 0    11  1 2 3 5 2 1 1 1     5  1 1 2 2 1 1 2 1
2014 06 10     7  1 1 2 2 3 2 2 2     4  1 1 1 1 1 1 2 2     7  1 1 2 2 2 2 2 2
2014 06 11     8  2 2 2 3 3 1 2 1     9  2 1 1 4 3 2 2 1     7  2 2 2 3 2 2 2 1
2014 06 12     5  1 2 0 2 2 1 2 1     2  1 2 0 0 0 0 0 1     4  1 2 1 1 1 1 1 1
2014 06 13     6  1 0 1 2 3 2 2 2     2  1 0 0 0 1 1 1 1     5  1 1 1 1 2 2 2 2
2014 06 14     8  2 2 3 2 2 2 2 2    11  3 3 4 3 1 1 0 2     8  3 2 3 2 1 1 2 2
2014 06 15     9  2 1 2 4 2 2 2 1     4  2 1 2 2 1 0 1 0     5  2 1 2 2 1 1 1 1
2014 06 16     7  1 1 1 2 3 2 2 2     5  1 1 1 0 3 2 1 1     5  1 1 1 1 2 2 1 1
2014 06 17     9  2 2 3 1 2 2 2 3     7  2 2 3 2 2 1 1 2     8  2 2 3 2 2 1 2 3
2014 06 18    13  3 1 2 3 2 3 3 4    18  3 3 4 3 3 3 3 4    16  3 2 2 2 2 3 4 5
2014 06 19    10  3 3 3 2 2 2 2 2    13  3 3 4 3 3 2 1 1     8  3 3 2 2 1 2 2 2
2014 06 20    10  1 1 3 3 3 2 2 3    18  2 2 5 5 3 3 1 1     9  1 2 2 2 3 3 2 3
2014 06 21     7  1 2 2 3 2 2 1 1     8  2 2 4 3 1 0 0 1     6  2 2 2 2 1 1 1 1
2014 06 22     7  1 2 1 2 3 2 2 1     2  1 1 0 0 1 1 1 1     4  1 2 1 1 1 1 1 2
2014 06 23     7  1 0 0 1 3 2 1 4     1  0 0 0 0 0 0 0 2     5  1 1 0 0 1 1 0 3
2014 06 24     7  2 3 2 1 2 1 2 1     5  3 2 3 1 0 1 0 0     6  3 3 2 1 1 1 2 1
2014 06 25     8  1 1 2 2 2 3 2 3     4  0 1 3 2 0 1 0 1     6  1 1 2 2 1 2 2 2
2014 06 26     7  1 0 1 3 3 2 2 1     6  0 0 0 3 4 1 0 0     5  1 1 1 2 2 1 1 1
2014 06 27     4  1 1 0 1 2 1 2 2     2  1 0 0 1 1 0 1 1     4  1 1 0 1 1 1 2 1
2014 06 28     6  1 1 1 2 3 2 2 1    16  1 2 1 3 5 5 0 0     6  1 2 1 2 3 2 2 1
2014 06 29     7  2 2 2 1 2 1 2 3     5  2 1 2 1 2 0 1 2     8  3 2 2 1 1 1 2 3
2014 06 30     7  3 1 1 2 2 2 2 2     4  3 2 1 0 0 1 1 0     6  3 1 1 1 1 1 2 1
2014 07 01     6  1 2 1 2 2 3 1 0     3  1 2 0 0 0 2 1 0     4  1 2 1 1 1 1 1 1
2014 07 02     5  0 1 1 2 2 2 2 1     4  0 1 1 1 3 1 1 0     5  1 1 1 2 1 2 1 1
2014 07 03     8  2 2 2 3 2 1 2 2    18  1 3 4 6 3 1 0 0     6  2 2 2 3 2 1 1 1
2014 07 04     6  1 0 2 2 3 1 2 1     3  2 2 2 1 1 0 0 0     5  2 1 2 2 2 0 0 1
2014 07 05     5  0 0 1 2 2 1 3 2     0  0 0 0 0 0 0 1 0     4  1 1 1 1 1 1 1 1
2014 07 06     6  1 0 1 2 2 3 2 1     0  0 0 0 1 0 0 0 0     5  1 1 1 2 1 1 1 1
2014 07 07     5  2 1 1 2 2 2 1 1     3  1 1 1 1 1 1 1 1     6  2 1 1 2 2 2 1 1
2014 07 08     8  1 0 2 2 4 2 2 2     6  1 1 2 1 3 2 1 1     6  1 1 2 1 2 2 2 2
2014 07 09     8  2 1 2 1 2 3 2 3     9  2 2 2 3 3 1 2 2     7  2 2 2 1 1 2 2 3
2014 07 10    11  3 3 3 1 3 2 2 2     9  3 3 3 2 2 2 1 1     8  3 2 2 1 2 2 2 2
2014 07 11     7  1 1 2 1 3 2 2 2     6  1 2 2 3 2 1 1 1     6  2 2 2 2 1 2 2 2
2014 07 12     7  1 2 2 3 2 2 2 0    20  2 4 4 4 5 3 1 1     6  2 2 2 2 2 1 1 1
2014 07 13     6  2 2 1 2 2 1 1 2     3  1 2 1 1 1 0 0 1     5  1 2 1 2 1 1 1 2
2014 07 14    10  2 1 2 2 2 3 3 3     4  1 0 1 1 2 2 2 1     9  2 1 1 2 3 3 3 2
2014 07 15    10  2 2 3 3 3 2 2 2     7  2 2 2 3 3 1 0 1     7  2 2 2 2 2 2 1 1
2014 07 16     5  1 1 2 2 2 2 1 1     4  1 1 2 1 2 1 1 1     5  1 1 2 1 1 1 1 1
2014 07 17     6  1 1 1 1 3 2 2 2     2  1 1 1 0 0 0 0 1     5  1 1 1 1 1 1 1 2
2014 07 18     4  1 0 1 1 2 2 2 1     1  1 1 0 1 0 0 0 0     3  1 1 1 1 1 0 0 1
2014 07 19     3  0 0 0 1 2 2 1 1     1  0 0 0 2 0 0 0 0     3  0 1 1 1 1 0 0 0
2014 07 20     4  1 0 1 1 3 1 1 1     1  0 0 1 0 0 0 0 1     3  1 1 1 0 1 1 0 1
2014 07 21     5  1 0 1 1 2 2 2 2     3  1 0 0 2 2 1 1 1     5  1 1 1 1 1 2 2 2
2014 07 22     6  2 1 1 1 3 2 2 1     3  2 0 0 0 2 2 0 0     5  2 1 1 1 2 1 1 2
2014 07 23     7  0 1 1 1 3 1 3 3     2  0 1 0 0 0 0 2 1     6  1 1 1 1 1 1 3 3
2014 07 24     6  1 2 1 2 3 1 2 1     2  0 2 1 1 1 0 1 0     5  1 2 1 2 2 1 1 1
2014 07 25     9  3 2 3 1 3 2 2 1     5  2 2 3 2 1 0 0 0     6  3 2 2 2 1 1 1 1
2014 07 26     9  2 2 2 3 3 2 2 1    11  1 2 4 4 2 1 2 1     7  2 2 2 2 2 2 2 1
2014 07 27     6  1 1 1 2 3 2 1 1     4  2 2 2 1 0 0 1 1     5  2 1 2 2 1 1 1 2
2014 07 28    12  2 3 4 2 3 3 2 1    11  1 2 3 3 2 4 2 1     9  2 2 3 2 2 3 2 1
2014 07 29     6  1 2 0 2 2 3 2 1     2  1 1 0 1 0 0 1 1     4  1 1 0 1 1 1 1 1
2014 07 30     7  2 2 1 2 3 2 2 1     2  2 2 0 1 0 0 0 0     5  3 1 1 1 1 1 1 1
