:Product: Daily Geomagnetic Data     2016_DGD.txt
:Issued: Jan 02 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                         2016 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2016 01 01    17  5 4 4 3 1 2 2 1    33  5 5 6 5 3 2 2 2    27  6 5 5 3 2 1 2 2
2016 01 02     6  2 2 2 2 2 2 1 1    15  2 2 3 5 3 3 2 1    10  3 2 3 2 2 2 2 2
2016 01 03     5  0 1 2 1 2 2 1 2     5  0 0 2 2 3 2 0 1     7  1 2 2 1 2 2 1 3
2016 01 04     4  0 1 2 0 2 2 2 0     3  1 1 2 0 1 1 1 0     5  1 2 2 0 1 2 2 1
2016 01 05     5  1 1 1 2 1 2 2 1     3  0 1 0 1 0 2 1 2     7  1 1 1 2 1 2 3 2
2016 01 06    12  4 2 2 3 2 2 2 3    27  2 2 6 6 3 3 1 2    17  5 3 3 3 3 2 3 4
2016 01 07    11  4 2 2 3 3 2 2 0    22  2 2 3 6 4 4 2 1    14  4 3 3 4 3 3 2 1
2016 01 08     6  1 2 1 2 3 2 1 1    20  1 1 3 6 5 2 1 0     8  1 3 2 2 3 1 1 2
2016 01 09     5  1 2 1 1 2 1 2 1     7  1 0 2 4 3 1 1 0     6  2 1 2 1 2 1 2 1
2016 01 10     7  1 2 1 2 3 2 2 1    11  1 0 3 4 4 2 1 1     7  2 2 1 2 2 1 2 2
2016 01 11     9  1 2 2 2 2 2 3 3    14  1 1 3 2 3 4 4 3    14  2 3 3 2 2 3 4 4
2016 01 12    10  3 2 3 2 2 3 2 2    17  3 2 3 3 5 2 3 3    15  4 3 3 2 2 2 3 3
2016 01 13    11  3 4 2 2 2 2 3 1    16  4 3 3 3 4 3 2 1    14  4 4 2 2 2 2 3 2
2016 01 14     6  1 1 2 2 2 2 1 2    19  1 1 5 5 4 3 1 1     8  2 2 3 2 2 2 2 3
2016 01 15     4  2 2 1 1 0 2 1 1     5  1 1 1 2 3 1 1 1     6  2 2 2 1 1 1 1 1
2016 01 16     3  0 1 1 1 2 1 1 0     2  0 0 1 3 0 0 0 0     4  0 1 1 2 2 0 1 1
2016 01 17     3  0 0 1 0 2 2 1 1     3  0 0 2 1 2 1 0 0     4  0 0 2 1 1 1 1 1
2016 01 18     4  0 0 0 0 1 2 1 3     2  0 0 0 1 2 1 0 1     5  0 0 0 1 1 2 1 3
